age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,Customer_ID
58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no,0
44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no,1
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,2
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no,3
33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,4
35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no,5
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,6
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,7
58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no,8
43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no,9
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no,10
29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no,11
53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no,12
58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no,13
57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no,14
51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no,15
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no,16
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no,17
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,18
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,19
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,20
56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,21
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,22
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,23
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,24
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,25
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,26
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,27
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,28
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,29
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,30
49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,31
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,32
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,33
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,34
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,35
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,36
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,37
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,38
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,39
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,40
50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,41
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,42
