Customer_ID,Transaction_Date,Transaction_Amount,Subscription_Status
0,2023-01-25,173.4,no
0,2023-10-15,179.11,no
0,2024-06-28,309.93,no
0,2023-10-12,180.35,no
0,2023-06-02,175.64,no
1,2024-11-16,2.74,no
1,2023-12-19,2.24,no
1,2023-09-21,3.96,no
1,2023-12-07,2.24,no
1,2024-09-05,4.1,no
2,2023-05-30,0.12,no
2,2023-12-13,0.21,no
2,2024-11-07,0.11,no
3,2024-04-17,107.97,no
3,2024-06-11,218.53,no
4,2024-08-23,0.14,no
4,2024-01-06,0.11,no
4,2023-08-23,0.06,no
4,2023-01-27,0.12,no
4,2024-11-16,0.12,no
5,2023-09-30,31.25,no
5,2023-05-01,12.36,no
5,2024-11-16,15.44,no
5,2023-01-14,16.88,no
6,2024-05-08,39.7,no
6,2024-01-03,44.11,no
7,2023-11-24,0.14,no
7,2023-06-09,0.17,no
8,2023-09-23,13.47,no
8,2023-06-02,6.17,no
8,2023-07-19,13.34,no
9,2024-03-11,68.1,no
9,2024-09-22,74.93,no
10,2023-06-06,15.47,no
10,2023-11-02,20.96,no
11,2024-11-27,42.64,no
11,2024-06-04,33.41,no
12,2023-04-04,0.72,no
12,2023-09-05,0.41,no
13,2023-05-05,7.99,no
13,2023-01-04,8.4,no
14,2024-04-08,21.04,no
14,2023-04-20,16.7,no
15,2023-08-01,17.45,no
15,2024-04-29,12.62,no
15,2023-07-07,16.86,no
15,2023-02-06,30.39,no
16,2023-10-14,1.64,no
16,2023-03-16,1.48,no
17,2024-07-18,2.93,no
17,2023-08-04,6.19,no
17,2024-11-26,6.35,no
17,2024-06-01,5.74,no
17,2024-02-27,3.64,no
18,2024-04-14,7.52,no
18,2023-11-25,7.67,no
19,2023-03-03,100.53,no
19,2024-04-04,149.42,no
19,2023-01-29,146.67,no
20,2024-07-13,99.26,no
20,2024-12-22,96.63,no
20,2023-10-17,80.91,no
21,2023-07-11,109.9,no
21,2023-07-06,96.91,no
21,2023-03-11,90.76,no
22,2023-06-28,1.21,no
22,2023-11-08,3.4,no
22,2023-03-22,2.11,no
23,2024-06-10,7.49,no
23,2023-09-06,4.8,no
23,2023-11-12,3.94,no
23,2023-10-22,5.34,no
23,2024-05-28,6.73,no
24,2023-02-26,73.02,no
24,2024-05-21,70.72,no
24,2024-09-15,103.1,no
25,2024-11-28,78.54,no
25,2024-01-13,115.67,no
25,2024-01-06,59.3,no
25,2023-03-14,93.98,no
26,2024-04-26,35.81,no
26,2024-09-21,35.97,no
26,2024-11-25,21.23,no
26,2023-08-04,16.5,no
26,2023-05-11,18.58,no
27,2024-09-20,14.47,no
27,2023-10-08,8.6,no
27,2023-02-22,7.3,no
27,2024-02-24,14.14,no
27,2024-04-25,9.47,no
28,2023-04-07,130.25,no
28,2023-12-21,78.64,no
29,2023-02-11,30.24,no
29,2024-04-24,16.74,no
29,2023-11-03,26.1,no
29,2024-07-29,13.5,no
30,2023-04-01,71.01,no
30,2023-12-12,52.6,no
31,2024-08-12,24.68,no
31,2024-05-01,41.22,no
31,2024-12-17,30.28,no
